Priority,"Type of support",PHN,Name,Details,"Resource name links to"
Energy,"Near me","Brisbane North","Brisbane City Council","Improve your energy with free or low cost fitness, sport, and recreation activities",https://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/fitness-strength-activities#/?i=2
Appetite,Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by problems with appetite and other symptoms of anxiety or depression",https://mindspot.org.au/
Appetite,Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
Appetite,"Mobile app","Brisbane North","Smiling mind","Provides guidance on mindful eating which may have benefits whether you are eating too much or too little ",https://smilingmind.com.au/smiling-mind-app/
Appetite,"Near me","Brisbane North","Wellnation Clinic (Endeavour College Student clinic) ","Offers a whole system approach to nutrition, with consultations ranging from $12-$20",https://www.wellnationclinics.com.au/treatments/nutritional-medicine
Self-image,Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
Self-image,Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
Self-image,"Mobile app","Brisbane North","Good Blocks","Assists to improve self-esteem, body image, anxiety and mood through ",http://samuramu.com/goodblocks/
Self-image,"Near me","Brisbane North",Grow,"Provides a chance to talk with others about mental health and wellbeing difficulties, share experiences, and support each other",https://www.grow.org.au/qld/
"Concentration / attention",Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by problems with concentration and other symptoms of anxiety or depression",https://mindspot.org.au/
"Concentration / attention",Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
"Concentration / attention","Mobile app","Brisbane North","Smiling mind","Learn to focus your mind through short mindfulness training exercises",https://smilingmind.com.au/smiling-mind-app/
"Concentration / attention","Near me","Brisbane North",Grow,"Grow members talk about their experiences and support each other with their mental illness journey. Free",https://www.grow.org.au/qld/
"Motor activity / movement",Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
"Motor activity / movement",Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
"Motor activity / movement","Mobile app","Brisbane North",MoodMission,"Tell the app how you're feeling to receive a selection of simple and effective missions that will help boost your activity levels",http://moodmission.com/
"Motor activity / movement","Near me","Brisbane North",Grow,"Provides a chance to talk with others about mental health and wellbeing difficulties, share experiences, and support each other",https://www.grow.org.au/qld/
"Thoughts of death",Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
"Thoughts of death",Telephone,"Brisbane North","Suicide Call Back Service","Provides immediate support to anyone feeling suicidal, and longer term support through up to six free telephone counselling sessions. Call 1300 658 467.",https://www.suicidecallbackservice.org.au/
"Thoughts of death","Mobile app","Brisbane North",BeyondNow,"Allows you to create a safety plan that you can work through when you're experiencing suicidal thoughts",https://www.beyondblue.org.au/get-support/beyondnow-suicide-safety-planning/
"Thoughts of death","Near me","Brisbane North",Grow,"Provides a chance to talk with others about mental health and wellbeing difficulties, share experiences, and support each other",https://www.grow.org.au/qld/
"Anxiety / worry",Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
"Anxiety / worry",Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
"Anxiety / worry","Mobile app","Brisbane North","Smiling mind","Learn to calm your mind and build mental health and wellbeing through mindfulness-based tools",https://smilingmind.com.au/smiling-mind-app/
"Anxiety / worry","Near me","Brisbane North",Grow,"Provides a chance to talk with others about mental health and wellbeing difficulties, share experiences, and support each other",https://www.grow.org.au/qld/
Health,Online,"Brisbane North",iChooseWell,"A comprehensive program that provides instructions and tools to help you learn new wellness strategies and put them into practice.",https://www.mydigitalhealth.org.au/programs-available/
Health,Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
Health,"Mobile app","Brisbane North",healthdirect,"Provides tools to help you manage your health. Check your symptoms, find a health service, and get trusted health information.",https://www.healthdirect.gov.au/health-app
Health,"Near me","Brisbane North","Brisbane City Council","Improve your mental and physical health with free or low cost fitness, sport and recreation activities",https://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/fitness-strength-activities#/?i=2
"Activities of daily life",Online,"Brisbane North",MindSpot,"The MindSpot pain course asssists people with chronic pain to manage their physical and emotional health",https://mindspot.org.au/pain-course
"Activities of daily life",Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
"Activities of daily life","Mobile app","Brisbane North",Flaredown,"Track symptoms, treatments, triggers, and connect with the online community",http://flaredown.com/
"Activities of daily life","Near me","Brisbane North","Brisbane City Council","Improve your mental and physical health with free or low cost fitness, sport and recreation activities",https://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/fitness-strength-activities#/?i=2
"Household economy",Online,"Brisbane North",MoneySmart,"Provides financial guidance, tools, and resources",https://www.moneysmart.gov.au/
"Household economy",Telephone,"Brisbane North","National Debt Helpline","Provides free financial counselling. Call 1800 007 007 between 9:30am and 4:30pm, Monday to Friday",http://www.ndh.org.au/
"Household economy","Mobile app","Brisbane North",Pocketbook,"Includes a budget planner and personal finance software",https://getpocketbook.com/
"Household economy","Near me","Brisbane North",MoneyCare,"Provides free and confidential financial counselling for people facing financial difficulties or wanting to avoid financial difficulties in the future. Follow the link to find an office near you.",https://salvos.org.au/need-help/financial-assistance/financial-counselling/
Generic,Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
Generic,Telephone,"Brisbane North",beyondblue,"Provides free information and advice from a trained mental health professional. Call 1300 22 4636, available 24 hours a day.",https://www.beyondblue.org.au/
Generic,"Mobile app","Brisbane North","Smiling mind","Build mental health and wellbeing through mindfulness-based tools",https://smilingmind.com.au/smiling-mind-app/
Generic,"Near me","Brisbane North",Grow,"Provides a chance to talk with others about mental health and wellbeing difficulties, share experiences, and support each other",https://www.grow.org.au/qld/
